"Coluna A","Coluna B","Coluna C"
437,775,333
749,595,405
106,981,309
372,540,848
119,509,160
905,747,518
487,887,323
133,295,545
137,216,313
502,231,132
501,950,204
203,435,799
680,266,400
952,717,906
462,546,825
890,305,630
443,519,231
928,261,793
763,409,748
933,466,533
344,959,294
740,829,750
260,451,278
867,294,560
149,716,506
759,306,502
320,586,354
342,577,412
836,345,220
793,797,843
350,167,869
227,146,262
993,659,677
933,290,852
936,218,326
700,268,180
196,700,757
338,677,897
140,935,865
640,326,497
974,960,567
901,732,535
674,249,551
932,172,191
844,788,254
136,448,903
712,789,524
396,463,985
797,290,844
119,660,630
918,440,878
310,488,837
852,293,803
537,471,623
170,717,204
616,101,835
686,774,230
490,525,847
209,743,903
874,498,872
918,600,875
346,502,364
671,995,148
795,293,414
433,128,509
693,729,131
148,205,248
743,382,688
770,232,260
798,684,670
291,312,331
855,463,978
663,963,711
421,250,357
299,504,116
660,858,299
556,453,839
219,902,878
339,234,235
492,493,658
107,309,389
971,754,647
193,965,932
498,275,137
731,287,465
944,676,750
700,430,101
350,660,744
903,450,536
964,262,624
423,673,600
490,817,324
693,945,287
348,982,144
762,722,216
444,637,535
936,512,105
262,576,796
822,722,689
690,335,126
